State,Fellow,Project Summary,Administering Organisation,Total Project Funding,Project Duration in years
Australian Capital Territory,Dr Thanh Son Pham,"This project aims to advance research on the internal structure and temporal change in the Antarctic ice sheet by analysing seismic ground motion records of natural sources, including ambient noise. This approach expects to complement existing satellite and airborne methods to resolve glacial structures over large areas and detect changes hidden under snow cover. The intended outcome is new knowledge of the ice sheet’s stratification, its long-term variation due to climate change, and its rapid response to local weather events. The benefits include improving the reliability of ice sheet evolution modelling and sea-level rise prediction, unlocking a polar gateway to study Earth deep interior, and preparing for space missions to icy worlds.",The Australian National University,"$425,143 ",3
Australian Capital Territory,Dr Prasanga Samarasinghe,"This project aims to research new 3D spatial audio processing techniques to analyse natural sounds for environmental conservation, while meeting the tasks, demands and data characteristics inherent to bioacoustics. Expected outcomes include new, accurate and efficient bioacoustics computation technologies, generalisable across different terrestrial regions, species types and environment changes. These could dramatically enhance the efficacy of current bioacoustic monitoring systems while opening up new research directions. Resulting technology could be adopted for immediate tasks like the monitoring of bushfire recovery efforts, and more generally, for the management and conservation of Australian natural resources.",The Australian National University,"$453,054 ",3
Australian Capital Territory,Dr Ying Xin Show,"This project aims to advance understanding of Cold War culture and decolonisation through Chinese diaspora experience and literature. By unearthing a corpus of underexplored archives, using literary analysis and ethnography, this interdisciplinary project offers the first comprehensive study of Sinophone literature and print culture in Cold War Malaya. Expected outcomes include new knowledge of how Chinese diaspora writers claim subjecthood amidst anti-communist violence in Southeast Asia, which shed light on the complex interplay of geopolitics, literature and identity. This project benefits Australian understanding of Chinese diaspora responses to global superpower rivalry during the ‘old’ Cold War amidst a similar phenomenon today.",The Australian National University,"$421,000 ",3
Australian Capital Territory,Dr Jonathan Zhu,"The proposed project aims to investigate theoretical properties of thin films and fluid interfaces, which are modelled as surfaces driven by surface tension, possibly in an enclosing container. This project is expected to generate new knowledge in the area of geometric partial differential equations, by utilising new techniques in geometric flows, and by establishing novel methods for boundary value problems. The developed techniques may have far-reaching applications in other areas of mathematical analysis, and the expected results would contribute greatly to the theory of surfaces governed by mean curvature, which arise in various real-world phenomena such as soap bubbles, black hole horizons and bushfire fronts.",The Australian National University,"$422,154 ",3
New South Wales,Dr Folarin Oluseye (Seye) Abimbola,"When the dignity of its beneficiaries is not respected, especially their dignity as knowers, global health efforts in low-income settings perpetuate falsehoods and promote wrong interventions. This project aims to fill an urgent gap in the field of global health – how to institutionalise respect for beneficiaries’ dignity as knowers. The project will do so by investigating strategies that helped to institutionalise evidence-based practices in the fields of health care and health policy. Expected outcomes include practical strategies to institutionalise dignity-based practices in knowledge production, use and circulation. This should lead to major social, health and economic benefits by improving the effectiveness of global health efforts.",The University of Sydney,"$443,742 ",3
New South Wales,Dr Ali Ahrari,"This project aims to address significant gaps in the existing knowledge about solving complex engineering problems that involve conflicting objectives and unquantifiable features. In these problems, the decision-maker is interested in knowing high-quality and dissimilar solutions that determine the trade-off between the problem objectives. The intended outcomes of this project include a novel robust computational solver that can automatically find such solutions. The decision-makers can then choose the final solution based on their expertise and preferences. This expects to offer significant benefits to diverse engineering disciplines by finding superior and more practical solutions to their complex multidisciplinary problems.",The University of New South Wales,"$329,278 ",3
New South Wales,Dr Scott Berry,"This project aims to reveal how human cells coordinate the kinetics of messenger RNA (mRNA) transcript production, processing and degradation at the single-cell level. It expects to generate significant new biological knowledge of gene regulation by combining innovative interdisciplinary research methodologies in genetics, single-molecule imaging, mathematical modelling and quantitative cell biology. Expected outcomes include enhanced training of researchers and to build Australia’s capability in the rapidly expanding fields of RNA biology and high-throughput microscopy. This should provide significant benefits for a myriad of applications including health, agriculture and veterinary sciences.",The University of New South Wales,"$463,618 ",3
New South Wales,Dr Emma Burns,"This project aims to determine how teacher-student relationships support adolescents’ motivation, engagement, and achievement in Mathematics, Science, and English via three hypothesised dimensions: socio-emotional support, instructional help, and conflict. This project expects to generate new knowledge about the impact of teacher-student relationships in each subject, over time, and if they can be improved by intervention. Expected outcomes include an online practice-driven toolkit and scalable intervention to enhance teacher capacity to build positive relationships. This knowledge will have significant benefits for students, teachers, and policy by identifying how to enhance the relationships most critical to adolescents’ academic success.",Macquarie University,"$410,723 ",3
New South Wales,Dr Orpheus Butler,"We need to know how different prescribed burning regimes set the stage for long-term changes in plant community composition, diversity, and flammability. This project aims to reveal how plant community dynamics under different fire scenarios can be predicted based on contemporary interactions between plants and soil micro-organisms. This innovative approach to fire ecology integrates soil biology and plant ecophysiology with sophisticated experiments and novel modelling techniques. Expected outcomes include a much-needed mechanistic framework for early detection of major ecological changes under novel fire regimes, with direct benefits for land managers and the long-term conservation of Australia’s iconic vegetation.",The University of Sydney,"$450,000 ",3
New South Wales,Dr Erin Campbell,"This project aims to deconstruct the brain circuits that shape reward-seeking behaviour in different environments. The anticipated significance of this project is to provide mechanistic insights into why we choose to seek rewards in safe, but not dangerous environments. Expected outcomes include answering fundamental questions about how the environment shapes our behaviour by identifying projection cell subtypes important for reward-seeking, characterising their neuronal activity and precisely defining their molecular phenotype. The benefits of this project are expected to provide a new knowledge base for understanding decision-making in a constantly changing world.",The University of Newcastle,"$393,903 ",3
New South Wales,Dr Clément Canonne,"This project aims to investigate the trade-offs between privacy, communication costs and accuracy of results when learning from users' sensitive data. The project intends to design faster and more accurate algorithms for a wide range of machine learning tasks by developing a novel and widely-applicable algorithmic framework. Expected outcomes of this project include new theoretical tools to guide the design of data-driven decision systems and rigorously analyse their performance and privacy guarantees. Privacy of individuals' information in data analytics pipelines is a key societal concern. This project should lead to significant benefits by strengthening privacy in these pipelines while also improving accuracy and cost-efficiency.",The University of Sydney,"$432,355 ",3
New South Wales,Dr Rosemary Cater,"There are more than 600 kilometres of blood vessels in the brain, all of which are lined by tightly packed cells that protect the brain from toxins. My research aims to investigate how these blood vessels are formed. This project expects to reveal the role that a critical signalling molecule called heme plays in this fundamental biological process. I will use cutting-edge structural biology and biophysical techniques to uncover the molecular mechanisms that allow heme to enter cells and regulate blood vessel growth in the brain. The outcomes of this research will enhance our understanding of the brain’s core infrastructure and will contribute to an understanding of how cerebral blood vessels grow and maintain integrity.",The University of Sydney,"$473,824 ",3
New South Wales,Dr Ben Chen,"Australians are witnessing the greatest intergenerational wealth transfer in history. Unfortunately, more and more families are going to court over inheritance. These disputes tear families apart and impose excessive costs on families and the courts. This project applies legal, behavioural economic and statistical methods to study inheritance battles. It seeks to generate new knowledge about the drivers of inheritance litigation, in order to make it cost-effective. Its expected outcomes include behavioural economic models of inheritance litigation to predict what cost-reduction strategies will work; a large database of real-world inheritance cases to test these predictions; and robust law-reform recommendations to reduce litigation costs.",The University of Sydney,"$445,880 ",3
New South Wales,Dr Shaopeng Chi,"Human bodies are densely covered with numerous mechanosensory neurons that provide us with the sense of touch and pain. However, the molecular force sensors remain poorly identified. This project aims at defining the fundamental roles of mechanosensitive ion channels to sense and respond to various mechanical stimuli, and how their responses may encode mechanical cues.The ultimate goal is to provide a fundamentally new understanding of proprioception and motion sensing. The new multimodality approach generated in this project is expected to evolve as a national facility for neuro-mechanobiology, and future research may lead to the inspiration of novel bionic sensor design and brain-computer interface for future neuroengineering industry.",The University of Sydney,"$444,154 ",3
New South Wales,Dr Leo Corcilius,"The project aims to develop a powerful new method for the generation of pure modified proteins. Tools for modification of proteins are integral to the study of protein structure and function as well as the commercial production of biopharmaceuticals. The extremely cost effective and operationally simple chemistry that will be developed in this project will overcome a number of pitfalls of currently available methods for protein modification, and will therefore deliver substantial technological innovation to both academia and industry. Through domestic and international collaboration, this new technology will be applied to study proteins involved in the defence of wheat against fungal rust disease and in inflammatory signalling in humans.",The University of Sydney,"$410,140 ",3
New South Wales,Dr Rahman Daiyan,"This DECRA aims to realise the direct electrochemical conversion of waste resources using renewable energy to generate urea at ambient conditions. By designing impurity-tolerant single atom catalysts and unearthing their structure-activity relationships, the utilisation of flue gas and wastewater will be materialised. This will advance our understanding in the field as current energy conversion reactions require pure feedstocks. Expected outcomes from the program is envisioned to lead to deployment of scalable decentralised modes of green urea production (substituting imports), and the knowledge transferrable to other areas of Australia’s emerging hydrogen economy, extending the scope of renewable Power-to-X to realise a circular economy.",The University of New South Wales,"$360,218 ",3
New South Wales,Dr Kit Double,The knowledge and skills developed in the classroom often do not transfer to the workplace or even to other subjects at school. This project aims to evaluate how the transfer of knowledge can be enhanced by prompting students to evaluate and reflect on their performance in specific ways. The project will identify how different students respond to self-evaluation and how self-evaluation can most effectively be designed and applied in the classroom. Newly developed self-evaluation prompts will be implemented in a computerised and adaptive way so that self-evaluation is tailored to a particular student. This project should provide a scalable and cost-effective way to help students apply what they learn in a more flexible and efficient way.,The University of Sydney,"$336,318 ",3
New South Wales,Dr Dorna Esrafilzadeh,"This project aims to fine-tune the interface of low-temperature liquid metals to produce functional hybrid nanomaterials for CO2 reduction. The expected outcomes of the projects are to develop fundamental knowledge on the integration of functional molecules on the bulk, core, and skin of liquid metals and their alloys. It intends to control the atomic arrangement of the elemental constituents, nucleation, as well as interaction and dissolution of organic/inorganic molecules in the interface and bulk of liquid metals. The anticipated outcomes of this project are to define a knowledge roadmap to exploit the untapped potentials of liquid metals in CO2 reduction, which would enable the production of the next generation of catalytic devices.",The University of New South Wales,"$434,395 ",3
New South Wales,Dr Anna Farmery,"The project aims to provide knowledge to improve food systems, in line with the UN Sustainable Development Goals, through fisheries and aquaculture. Food and health outcomes are not well-integrated into fisheries and aquaculture policy or management, despite global expectations that aquatic foods will help address current and anticipated food system challenges. Expected outcomes include new knowledge on implementing food- and nutrition-based management objectives in fisheries and aquaculture, and methods to measure benefits in different national contexts. Outcomes should increase capability to manage fisheries and aquaculture to improve human health through diets while achieving environmental, economic and other socially positive outcomes.",University of Wollongong,"$425,312 ",3
New South Wales,Dr Peyvand Firouzeh,"This project aims to investigate the historical movement of objects, knowledge, and people across cultures in the Indian Ocean world, countering the Eurocentric framework of previous scholarship by adopting a trans-Asian network lens. Focusing on art and architecture in fifteenth-century central India, it examines how an independent, largely Muslim state comprised of migrants fashioned itself through works of art that challenged cultural and geographical boundaries. This project expects to advance new methodologies for studying hybrid visual cultures, generate new knowledge about the dynamics of global connectedness in the early modern era, and deepen our understanding of the mechanics of migration and cultural exchange today.",The University of Sydney,"$458,318 ",3
New South Wales,Dr Hasindu Gamaarachchi,"This project aims to address limitations in nanopore sequencing (latest emerging technology in genomics) by applying advanced computational methods. This project expects to create new knowledge in bioinformatics and computer science through innovative approaches that leverage the live data streaming capability of nanopore devices to deliver results rapidly, or in real-time. Expected outcomes include improved, highly efficient analysis methods and designs for future creation of custom computer hardware for nanopore analysis. This will facilitate widespread adoption of nanopore technology in bioscience research and applied domains (health, agriculture, ecology, biosecurity and forensics), including for portable in-the-field applications.",The University of New South Wales,"$453,913 ",3
New South Wales,Dr Kathomi Gatwiri,"This project aims to investigate why Black Africans in Australia experience significant challenges of integration in comparison to other migrant groups. This issue of national concern, exacerbated by ongoing negative public and media discourse, has prompted calls for deportations of community members due to failed integration. Applying a unique and innovative Afrocentric methodology, this project expects to generate a new understanding of racial dignity as key to belonging for Black Africans in Australia. By linking racial dignity as core to integration and belonging, the project should expand cross-cultural understandings that may inform culturally appropriate practice approaches with members of this community.",Southern Cross University,"$456,607 ",3
New South Wales,Dr Dong Gong,This project aims to enable machines to continually learn without forgetting and accumulate knowledge from the sequential data streams containing diverse tasks. This project expects to advance the continual learning to unrestricted real-world task steams that are long-term and complex and promote artificial intelligence toward the human-level intelligence that can automatically evolve during interaction with the world. Expected outcomes of this project include the paradigm-shifting continual learning framework and techniques for handling unrestricted task steams in real-world scenarios. They will benefit society and the economy nationally and internationally by enhancing the applicability of artificial intelligence.,The University of New South Wales,"$419,154 ",3
New South Wales,Dr Tijl Grootswagers,"The human brain's ability to effortlessly recognise and categorise objects enables effective behavioural responses in complex everyday environments. Despite the apparent efficiency of this process, it is still unknown how the brain solves object recognition. This project capitalises on cutting-edge advances in artificial intelligence and neuroscience to resolve the spatiotemporal dynamics of object processing in the human brain. The outcomes will be a step change in our understanding of the nature and development of the multi-dimensional space underpinning neural object processing. This will ultimately facilitate the diagnosis and treatment of brain disorders across the lifespan and accelerate the development of intelligent machines.",Western Sydney University,"$447,683 ",3
New South Wales,Dr Jiesi Guo,"This education psychology research aims to develop and test an online motivation intervention promoting high school students' interest and course-taking in science, technology, engineering, and mathematics (STEM). The project expects to generate new knowledge of psychological and sociocultural factors (including gender) which affect STEM interest and subject choices, and which influence the effectiveness of a motivation intervention for high school students. Expected outcomes include a scalable intervention that will be effective in replenishing the STEM skills pipeline. Benefits include better information for teachers and policy makers seeking to promote and sustain students' STEM interest, thus motivating them towards STEM pathways.",Australian Catholic University,"$392,877 ",3
New South Wales,Dr Michael Hanaghan,"The project aims to investigate how Classical texts were used to critique traditional Greco-Roman forms of predicting the future. It will show that future thinking is critical to the function of politics and religion in society, especially in times of sustained uncertainty. The project’s outcomes include a greater appreciation of the strategies Late-Antique thinkers used to confront and exploit Classical thought, the lasting impact uncertainty may have on modes of future knowledge, and the intellectual developments of Late Antiquity. The project will benefit Australian culture by offering a clearer grasp of how humans construct, manipulate, and make use of future thinking when the world undergoes significant political and social flux.",Australian Catholic University,"$429,000 ",3
New South Wales,Dr Benjamin Hanckel,"Digital technologies are being harnessed for their potential to enhance health and wellbeing. How digital health interventions provide support across national borders in the ‘real world’ and lives of young people are key questions in the realisation of global health. Focused on sexual health and mental health interventions for marginalised young people, this DECRA project is a direct response to this concern. The project examines the promise of transnational digital health interventions from the perspective of these marginalised young people across two key sites: one high-income country (Australia) and one middle-income country (Philippines).",Western Sydney University,"$434,212 ",3
New South Wales,Dr Long Hu,"Detectors operating in shortwave infrared region are critical in civil and military applications. This project aims to demonstrate revolutionary low-cost and high performing shorwave infrared lead sulfide quantum dot photodetectors and large-scale image sensors with compatible structures for the potential applications on complementary metal–oxide–semiconductor readout integrated circuits through fully printing. Expected outcomes of this project included the new understandings of surface passivation, interfacial engineering and device design. The shortwave technologies developed in this project will be highly prospective for commercialization in the near future, which would bring Australia’s shortwave technologies to a new stage.",The University of New South Wales,"$452,154 ",3
New South Wales,Dr Zixin Huang,"The aim is to design large scale, quantum-enabled imaging systems to boost the resolution of state-of-the-art instruments by three to five orders of magnitude. Using the toolbox of quantum information and quantum optics, the project expects to generate novel methods for 2D and 3D imaging, and precision measurements that can reach fundamental limits. Imaging is critical in much of today's research. The unparalleled resolution can benefit a broad range of scientific fields, the medical and the defence sector by resolving objects otherwise impossible. This project will strengthen Australia’s position as a world leader in quantum technologies by presenting solutions to overcome critical bottlenecks in imaging methods in the optical domain.",Macquarie University,"$415,154 ",3
New South Wales,Dr Jing Jiang,"The project aims to develop a new structured federated machine-learning framework to enhance the customisation of artificial intelligence across mobile and smart devices. It seeks to enable users to receive customised services on their devices without sending their sensitive personal data to a cloud service provider. Anticipated benefits include greater privacy, data security and device performance, as well as better end-user experience. Expected outcomes of this research include new knowledge, toolkits and algorithms for use in developing machine-learning based secure, efficient and fault-tolerant technologies for software applications, mobile services, cloud computing, autonomous vehicles and advanced manufacturing processes.",University of Technology Sydney,"$422,154 ",3
New South Wales,Dr Hamid Karimi-Rouzbahani,"For intelligent behaviour, the human brain needs to engage several processes including sensory, memory and motor processes. How it does this is one of the most significant questions in cognitive neuroscience. This project characterises the neural networks of human intelligence by advancing and building on the most recent advances in neuroimaging analyses. It will determine the interaction of different brain processes by developing novel connectivity methods that track the flow of information through the brain with high temporal and spatial accuracy. The outcomes will be fundamental insights into the mechanisms of human intelligence and new connectivity analysis software that will have wide application in brain research.",Macquarie University,"$457,810 ",3
New South Wales,Dr Michael Kendig,"Cues that signal food are abundant in the surrounding environment, yet their ability to stimulate food consumption remains poorly understood. This project seeks to identify how food cues influence decision-making processes in the presence of food cues. It will also test how dietary habits alter responding to food cues, and explore the underlying neural mechanisms of these effects. Sophisticated behavioural neuroscience techniques will be employed in a validated rodent model of the modern diet. Expected outcomes include new interdisciplinary knowledge identifying how nutritional choices influence cognition and the brain. The project should inform how the modern environment shapes dietary habits.",University of Technology Sydney,"$456,106 ",3
New South Wales,Dr Simon Knight,"We are facing an epistemological crisis, grounded in changing technologies, fake news, and a distrust of experts. Developing capability to navigate uncertainty, disagreement, and evidence is one of the most pressing social issues of our time in order to develop a sustainable society, ensure inclusive and equitable quality education, and promote lifelong learning opportunities for all. Despite relevant research, little is known about the crucial practices of educators in supporting learning towards these capabilities. This project will bring classroom practice and a practical theory of epistemic cognition into synchrony, developing new knowledge and strategies for students to learn how to navigate uncertainty, disagreement, and evidence.",University of Technology Sydney,"$419,237 ",3
New South Wales,Dr Elisabeth Kramer,"This project aims to investigate the difficulty of regulating tobacco products in Indonesia by interrogating the influence of domestic politics, the global tobacco industry and the role of interest-based lobbying. To probe the political context that has fostered this situation, it combines multiple streams theory and a policy networks approach. Expected outcomes include a detailed political history of tobacco-related policy, mapping of stakeholder influence on policy, and a conceptual model explaining connections between policy creation and stakeholder networks. Project benefits include a tested analytical approach that can be used to explore policy environments for the regulation of harmful, but licit, industries, in a range of contexts.",The University of Sydney,"$403,553 ",3
New South Wales,Dr Jessica Lake,"This project aims to investigate the history of sexual slander in the 19th century and its relationship to ideas of race and gender. Working within legal and historical frameworks, it seeks to examine, for the first time, court files and legislative records across the USA, UK and Australia, to understand diverse women’s attempts to redress sexual insults and reputational attacks, and drive law reform. Expected outcomes include international collaborations and path-breaking works of interdisciplinary history. Significant benefits are expected, including shaping policy and legal strategies in the present to combat the ongoing problem of sexual abuse and harassment, leading to improvements in women’s personal safety and economic wellbeing.",Australian Catholic University,"$371,875 ",3
New South Wales,Associate Professor Kari Lancaster,"This project aims to develop new understandings of how evidence is made, and how ‘evidence-enough’ is translated for policy, in situations of urgency and uncertainty. Outbreak science indicates how evidence-making might be done differently to improve responses. By innovatively drawing on sociological approaches, this project expects to advance the theory and practice of outbreak science, and examine critically its potential, through a timely study of one emerging technology of outbreak science, wastewater analysis, tracing its use in illicit drugs policy and infection control of viruses. Expected benefits include optimising how evidence is used for policy in situations of novel event, emergency and uncertainty, enabling better responses.",The University of New South Wales,"$459,094 ",3
New South Wales,Dr Jean-Simon Lemay,"Differential calculus is one of the most important and widely applied areas of mathematics. Differential categories are a modern foundational theory of differential calculus with applications throughout mathematics and computing. This project aims to use differential categories to create new foundations for algebraic geometry, and to generate new knowledge on the connection between algebraic and differential geometry. The generality of these foundations will allow for novel applications of algebraic geometry with significant benefits to computer science, such as in machine learning and differentiable programming. We expect this to build Australia's profile in these important fields and help train the next generation of mathematicians.",Macquarie University,"$352,200 ",3
New South Wales,Dr Yannan Li,"This project aims to develop an integrated regulatory paradigm for privacy-preserving blockchain. This project expects to reduce cybercrimes and illegal transactions in blockchain and provide solutions for the regulation concerns raised in the national blockchain roadmap, using interdisciplinary approaches and new primitives. Expected outcomes of this project include providing versatile regulation services covering the whole lifetime of transactions while maintaining transaction privacy and user anonymity. This should provide significant benefits to the economy by reducing the financial loss caused by blockchain abuse worldwide ($76 billion per year) and promoting Australia’s blockchain ecosystem (grow to AU$68.4 billion by 2030).",University of Wollongong,"$424,064 ",3
New South Wales,Dr Mengran Li,"This project aims to develop an efficient electrochemical method to convert carbon dioxide (CO2) to valuable chemicals. It expects to displace the energy-costly step of its upstream CO2 capture process. The key novelty is the use of flow-through electrodes and optimal solvents to promote CO2 conversion at high rates. Expected outcomes include enhanced efficiency of CO2 sequestration, and new techniques to develop electrodes with well-controlled local reaction environments, which are essential for electrochemical energy conversion and storage. This will benefit Australia's environment and industries such as cement and aluminium manufacturing in managing carbon emissions, and accelerate Australia’s transition to a carbon-neutral economy.",The University of New South Wales,"$428,154 ",3
New South Wales,Dr Gungun Lin,"The project aims to tackle a major challenge in techniques that manipulate tiny particles – increasing the performance of transducer devices that convert magnetic forces to mechanical movement. It will centre on interactions on the surface of particular particles, bypassing a known scientific limit. Expected outcomes include a fundamental understanding of key factors that have recently been shown to enhance magnetic responsivity and efficient mechanical manipulation and sensing in a magnetic field. The project outcomes will benefit developers by, for example, advanced nanoscale devices for robotics, sensing and molecular bioassays; controlling biophysical processes; and fundamental mechanobiology research.",University of Technology Sydney,"$411,918 ",3
New South Wales,Dr Wanchun Liu,"Industry 5.0 is a new industry transformation vision where the focus lies on the interaction between humans and machines. Wireless human-machine collaboration (HMC) will play a central role in a wide range of industrial applications in Industry 5.0. This project aims to develop new fundamental theories of wireless HMC and enable novel wireless communications designs to accommodate the stringent and dynamic requirements of HMC with performance guarantees. The project will provide innovative solutions to advanced manufacturing, remote healthcare, mining, and warehousing and will benefit Australia’s digital transformation.",The University of Sydney,"$432,572 ",3
New South Wales,Dr Xuyu Liu,This project aims to address fundamental questions on how natural modifications of proteins cause functional changes inside cells. The project expects to generate new knowledge in the areas of organic chemistry and chemical biology through the development of a synthetic platform for the discovery of a novel class of chimeric molecules that can trigger precise modifications of proteins. Expected outcomes include a detailed understanding of how specific modifications modulate protein and cellular function. Significant benefits of this interdisciplinary project include access to a new class of molecules for basic research that may also find use for cell engineering applications within the growing biotechnology sector in Australia.,The University of Sydney,"$444,154 ",3
New South Wales,Dr Emma Lovell,"This project aims to develop of novel catalysts targeted to utilise light and heat for the photo-thermal decomposition of ammonia to produce hydrogen and generate new understanding on the role of light in thermal catalytic reactions. The emergence of the hydrogen economy has resulted in the urgent need for safe and efficient hydrogen transport and storage vectors. Ammonia, a hydrogen carrier, is being increasingly considered as a potential key to facilitate the hydrogen economy due to its relative ease of storage. The development of catalysts tailored toward capturing light for ammonia decomposition will enable a new potential pathway for the hydrogen economy, with ammonia as a hydrogen vector.",The University of New South Wales,"$397,613 ",3
New South Wales,Dr Nicola Maher,"Temperature variability in the Pacific Ocean is characterised by El Niño and La Niña (year-to-year variations) and the Interdecadal Pacific Oscillation (decadal variations). These phenomena are primary drivers of Australian temperature and rainfall. Leveraging new tools and methods, including Single Model Initial-Condition Large Ensembles, this project will investigate drivers of these phenomena, and their impacts on Australia in a warming world. Outcomes include the quantification of how these climate phenomena modulate extreme weather events, and an understanding of how Indian and Atlantic Ocean warming affects the Pacific region. This will improve the prediction of extreme events, which is critical for preparation for their impacts.",The University of New South Wales,"$450,042 ",3
New South Wales,Dr Arunima Malik,"The aim of this project is to assess the impacts of future disruptive climate events and disasters on Australia's food system. This will be achieved by developing a world-first Integrated Assessment Modelling Lab, a collaborative research platform for comprehensive assessment of the effects of extreme climate events (bushfires/drought/floods/cyclones) on Australia's food supply. The project will use this capability to assess impacts on Australia's national and international supply chains, industry sectors and on socio-economic groups. The outcomes will offer opportunities to improve national responses to the changing climate and build resilience by designing adaptation plans to safeguard national and international food supply chains.",The University of Sydney,"$434,404 ",3
